#SAMPLE	Canonical_Smiles
SJ000551065-1	Cc1ccc(OCC(O)CNC2CCCCC2)cc1
SJ000550498-1	CC(C)NC(=O)C1=CN(CC2CCCCC2)C=C(C(=O)NC3CCN(Cc4ccccc4)CC3)C1=O
SJ000550485-1	CN(C)CC(C)(C)CNC(=O)C1=CN(C=C(C(=O)NC2CCCCC2)C1=O)C3CC3
SJ000550499-1	COC(=O)[C@@H](NC(=O)C1=CN(C=C(C(=O)NC(C)(C)C)C1=O)C2CCCCC2)c3ccccc3
SJ000550455-1	CC(C)CN1C=C(C(=O)NC2CCN(Cc3ccccc3)CC2)C(=O)C(=C1)C(=O)N4CCCCC4
SJ000550483-1	CC(C)(C)NC(=O)C1=CN(C=C(C(=O)N2CCN(Cc3cccs3)CC2)C1=O)C4CCCCC4
SJ000550503-1	COc1cccc(CN2CCN(CC2)C(=O)C3=CN(CCC(C)C)C=C(C(=O)NC(C)(C)C)C3=O)c1
SJ000550482-1	CC(C)(C)NC(=O)C1=CN(C=C(C(=O)N2CCN(Cc3ccncc3)CC2)C1=O)C4CCCCC4
SJ000550481-1	CCCCNC(=O)C1=CN(C=C(C(=O)NC2CCN(Cc3ccccc3)CC2)C1=O)C4CCCCC4
SJ000551037-1	CC(C)CN1C=C(C(=O)NCCN2CCC(CC2)c3ccccc3)C(=O)C(=C1)C(=O)N4CCCCC4
SJ000553567-1	Cc1ccc(cc1)C(=O)N2CCN(CC2)c3ccc(cc3C(F)(F)F)[N+](=O)[O-]
SJ000553568-1	CC1CN(CCN1C(=O)c2ccc(C)cc2)C(=O)c3ccc(C)cc3
SJ000553565-1	CC1CN(CC(C)O1)C(=O)c2ccccc2NC(=O)c3ccc(C)cc3
SJ000553566-1	CC1CCN(CC1)C(=O)c2ccc(CSc3nc4cc[nH]cc4n3)cc2
SJ000553564-1	[O-][N+](=O)c1ccc(Cl)cc1C(=O)N2CCOCC2
SJ000553563-1	Cc1cccc(C(=O)N2CCOCC2)c1[N+](=O)[O-]
SJ000553611-1	CCn1c(nc2ccccc12)N3CCN(CC3)C(=O)c4ccc(C)cc4
SJ000551372-1	CN(C)c1nc(N)nc(n1)c2cccnc2
SJ000551263-1	CC(NC(=O)C1CC1(C)C)c2ccccc2
SJ000551283-1	O=C(Nc1ccncc1)C2CC2c3ccccc3
SJ000551312-1	Cc1ccc(NC(=O)c2c(Cl)cnn2C)cc1
SJ000550834-1	Oc1ccc2N=C(OC(=O)c2c1)c3ccccc3
SJ000551257-1	COc1ccccc1NC(=O)C2CC2C
SJ000551355-1	Cn1cnc(c1C(=O)Nc2ccccc2)[N+](=O)[O-]
SJ000337545-2	Cn1nnnc1NCc2c(F)cccc2Cl
SJ000551019-1	Cc1cc(O)nc(n1)n2nc(C)cc2C
SJ000550518-1	CN(C)c1nc(C)nc(N)n1
SJ000551151-1	O=C1Cc2ccccc2C(N1)c3ccccc3
SJ000551082-1	OC(CNCCc1ccccc1)c2ccccc2
SJ000551058-1	OCCCNCC(O)COc1ccccc1
SJ000551736-1	Cc1ccc2c(c1)c3CCCC4NCCCn2c34
SJ000551010-1	Cc1cc(C)n(n1)c2nnc(C)c(O)n2
SJ000551253-1	O=C(Nc1cccnc1)C2CC2c3ccccc3
SJ000551150-1	Cc1ccc(cc1)C2NC(=O)Cc3ccccc23
SJ000551268-1	C=CCOc1ccccc1NC(=O)C2CC2
SJ000551398-1	Clc1cc(ncn1)N2CCOCC2
SJ000551259-1	CC1(C)CC1C(=O)Nc2ccccc2[N+](=O)[O-]
SJ000551084-1	CC(O)CNCc1ccc(cc1)C(C)C
